section,representative_value
0,2.658625
5,2.658625
10,2.61875
15,2.597875
20,2.584
25,2.57625
30,2.567125
35,2.5615
40,2.5615
45,2.61
50,2.582625
55,2.55925
60,2.5493749999999995
65,2.541625
70,2.535375
75,2.577875
80,2.5293749999999995
85,2.52525
90,2.521875
95,2.51925
100,2.51625
105,2.51475
110,2.51175
115,2.508375
120,2.505
125,2.503125
130,2.501375
135,2.500125
140,2.49825
145,2.4955
150,2.4935
155,2.49225
160,2.490875
165,2.48775
170,2.4875
175,2.483875
180,2.483875
185,2.488583333333333
190,2.493291666666667
195,2.498
200,2.487875
205,2.481875
210,2.478
215,2.473625
220,2.470875
225,2.46925
230,2.4675
235,2.465125
240,2.46325
245,2.461125
250,2.46025
255,2.457625
260,2.455625
265,2.453875
270,2.452375
275,2.4515
280,2.450375
285,2.449
290,2.448875
295,2.446375
300,2.4455
305,2.443125
310,2.441125
315,2.440375
320,2.44025
325,2.4407499999999995
330,2.437625
335,2.436666666666667
340,2.4357083333333334
345,2.43475
350,2.43475
355,2.4553125
360,2.475875
365,2.4565
370,2.44375
375,2.438625
380,2.433375
385,2.430625
390,2.427875
395,2.436875
400,2.423375
405,2.42225
410,2.426
415,2.425
420,2.418125
425,2.416625
430,2.413375
435,2.41525
440,2.410875
445,2.409625
450,2.409375
455,2.407375
460,2.406125
465,2.405625
470,2.404875
475,2.403375
480,2.40125
485,2.401625
490,2.400375
495,2.39925
500,2.398375
505,2.398125
510,2.395375
515,2.394625
520,2.394625
525,2.4145000000000003
530,2.434375
535,2.419625
540,2.410625
545,2.4035
550,2.399625
555,2.3955
560,2.39375
565,2.390875
570,2.390375
575,2.3885
580,2.38575
585,2.384875
590,2.383875
595,2.382875
600,2.3805
605,2.37975
610,2.38
615,2.3775
620,2.37675
625,2.376375
630,2.37475
635,2.374125
640,2.373
645,2.372375
650,2.37175
655,2.36975
660,2.368625
665,2.368375
670,2.366875
675,2.36575
680,2.365125
685,2.364375
690,2.363625
695,2.363625
700,2.3823749999999997
705,2.401125
710,2.388625
715,2.380625
720,2.375
725,2.37075
730,2.366875
735,2.361875
740,2.36
745,2.359875
750,2.356125
755,2.35475
760,2.354125
765,2.35175
770,2.351375
775,2.350375
780,2.34925
785,2.348625
790,2.347625
795,2.346375
800,2.344875
805,2.34525
810,2.34325
815,2.341625
820,2.34575
825,2.34025
830,2.33925
835,2.339
840,2.337375
845,2.336
850,2.335625
855,2.33575
860,2.33325
865,2.332625
870,2.332625
875,2.34875
880,2.364875
885,2.353375
890,2.3485
895,2.343
900,2.33875
905,2.33675
910,2.333125
915,2.330375
920,2.329625
925,2.327375
930,2.3255
935,2.324625
940,2.323
945,2.320625
950,2.320375
955,2.31875
960,2.316375
965,2.315125
970,2.313875
975,2.3115
980,2.310375
985,2.309375
990,2.307
995,2.30825
1000,2.30825
1005,2.305375
1010,2.304
1015,2.3025
1020,2.301
1025,2.29925
1030,2.295
1035,2.292125
1040,2.29
1045,2.29
1050,2.303375
1055,2.31675
1060,2.306
1065,2.299375
1070,2.296
1075,2.2925
1080,2.289875
1085,2.28725
1090,2.28425
1095,2.281625
1100,2.278875
1105,2.277375
1110,2.275125
1115,2.273
1120,2.2715
1125,2.2695
1130,2.268375
1135,2.26475
1140,2.26375
1145,2.261625
1150,2.259375
1155,2.257375
1160,2.257375
1165,2.25675
1170,2.255
1175,2.25325
1180,2.252125
1185,2.251
1190,2.250375
1195,2.249125
1200,2.248
1205,2.24725
1210,2.24725
1215,2.24725
1220,2.2641875000000002
1225,2.281125
1230,2.27
1235,2.262125
1240,2.25825
1245,2.256
1250,2.252625
1255,2.251
1260,2.24975
1265,2.248875
1270,2.24625
1275,2.24525
1280,2.243
1285,2.242625
1290,2.23975
1295,2.2395
1300,2.238875
1305,2.23825
1310,2.237
1315,2.234875
1320,2.23375
1325,2.232
1330,2.232125
1335,2.23075
1340,2.229625
1345,2.228125
1350,2.22775
1355,2.227375
1360,2.22625
1365,2.22375
1370,2.223875
1375,2.222875
1380,2.2215
1385,2.235333333333333
1390,2.2491666666666665
1395,2.263
1400,2.24875
1405,2.239875
1410,2.23475
1415,2.23075
1420,2.228625
1425,2.2255
1430,2.22325
1435,2.22225
1440,2.220625
1445,2.21925
1450,2.218
1455,2.21725
1460,2.215375
1465,2.2145
1470,2.214
1475,2.21175
1480,2.21225
1485,2.20975
1490,2.21025
1495,2.20875
1500,2.20775
1505,2.207
1510,2.2055
1515,2.205125
1520,2.204375
1525,2.20425
1530,2.201875
1535,2.197125
1540,2.189375
1545,2.18875
1550,2.1895
1555,2.2019583333333332
1560,2.2144166666666667
1565,2.226875
1570,2.215375
1575,2.207
1580,2.201375
1585,2.19775
1590,2.19525
1595,2.192625
1600,2.190375
1605,2.188375
1610,2.187
1615,2.184375
1620,2.183375
1625,2.181375
1630,2.181625
1635,2.1785
1640,2.177625
1645,2.17575
1650,2.1755
1655,2.17325
1660,2.173125
1665,2.171375
1670,2.17025
1675,2.170125
1680,2.16675
1685,2.165875
1690,2.16475
1695,2.162625
1700,2.16175
1705,2.15925
1710,2.15875
1715,2.157625
1720,2.1558749999999995
1725,2.1558749999999995
1730,2.197625
1735,2.179375
1740,2.170625
1745,2.173875
1750,2.171625
1755,2.169375
1760,2.168125
1765,2.164125
1770,2.162625
1775,2.161
1780,2.15975
1785,2.159
1790,2.156125
1795,2.155
1800,2.154
1805,2.1525
1810,2.151375
1815,2.149375
1820,2.147625
1825,2.14575
1830,2.144125
1835,2.143625
1840,2.141625
1845,2.14
1850,2.138125
1855,2.1375
1860,2.135875
1865,2.13375
1870,2.1335
1875,2.132625
1880,2.1266249999999998
1885,2.1206249999999995
1890,2.1334375
1895,2.14625
1900,2.136625
1905,2.13025
1910,2.12675
1915,2.120875
1920,2.118
1925,2.115625
1930,2.114875
1935,2.1135
1940,2.113125
1945,2.111
1950,2.11
1955,2.10975
1960,2.108
1965,2.10725
1970,2.105625
1975,2.1045
1980,2.105125
1985,2.102375
1990,2.10225
1995,2.10075
2000,2.09975
2005,2.0985
2010,2.0975
2015,2.09625
2020,2.093875
2025,2.09375
2030,2.0915
2035,2.09
2040,2.089625
2045,2.087875
2050,2.087875
2055,2.1011249999999997
2060,2.114375
2065,2.101875
2070,2.09525
2075,2.0915
2080,2.08625
2085,2.082875
2090,2.08025
2095,2.078875
2100,2.075375
2105,2.075125
2110,2.072375
2115,2.07025
2120,2.082625
2125,2.0645
2130,2.063
2135,2.062125
2140,2.06025
2145,2.059375
2150,2.05775
2155,2.05575
2160,2.0555
2165,2.053
2170,2.05075
2175,2.04925
2180,2.048375
2185,2.045875
2190,2.045
2195,2.043
2200,2.040875
2205,2.039125
2210,2.038875
2215,2.049125
2220,2.0593749999999997
2225,2.069625
2230,2.054
2235,2.046375
2240,2.039875
2245,2.033375
2250,2.030875
2255,2.026125
2260,2.022875
2265,2.019875
2270,2.01625
2275,2.014
2280,2.011625
2285,2.009125
2290,2.00525
2295,2.00525
2300,2.00125
2305,1.99775
2310,1.995875
2315,1.994875
2320,1.994125
2325,1.98725
2330,1.984875
2335,1.984375
2340,1.981875
2345,1.98
2350,1.97775
2355,1.974875
2360,1.972375
2365,1.97075
2370,1.96925
2375,1.96625
2380,1.96625
2385,1.9774375000000002
2390,1.988625
2395,1.978875
2400,1.971875
2405,1.96825
2410,1.961875
2415,1.959
2420,1.95625
2425,1.952125
2430,1.947375
2435,1.94475
2440,1.941875
2445,1.937375
2450,1.934875
2455,1.9325
2460,1.930875
2465,1.927375
2470,1.925875
2475,1.9235
2480,1.92025
2485,1.917875
2490,1.914625
2495,1.914375
2500,1.911125
2505,1.908
2510,1.907625
2515,1.903125
2520,1.9015
2525,1.899125
2530,1.897
2535,1.894875
2540,1.894875
2545,1.9088125
2550,1.92275
2555,1.9105
2560,1.90275
2565,1.896875
2570,1.893125
2575,1.890125
2580,1.886625
2585,1.882
2590,1.878875
2595,1.875
2600,1.871625
2605,1.869375
2610,1.867
2615,1.862125
2620,1.86025
2625,1.857
2630,1.855125
2635,1.851
2640,1.846375
2645,1.845875
2650,1.8405
2655,1.837875
2660,1.835625
2665,1.8325
2670,1.83125
2675,1.829375
2680,1.824625
2685,1.821625
2690,1.821625
2695,1.854
2700,1.83275
2705,1.81875
2710,1.808875
2715,1.802125
2720,1.7953749999999995
2725,1.791
2730,1.787125
2735,1.78325
2740,1.78075
2745,1.7765
2750,1.773125
2755,1.7695
2760,1.765875
2765,1.761
2770,1.758125
2775,1.753375
2780,1.751375
2785,1.745875
2790,1.7424999999999995
2795,1.739375
2800,1.734625
2805,1.731625
2810,1.7255
2815,1.722625
2820,1.7199999999999998
2825,1.7155
2830,1.711125
2835,1.708125
2840,1.708125
2845,1.7069375
2850,1.70575
2855,1.695375
2860,1.6871249999999998
2865,1.6793749999999998
2870,1.6735
2875,1.668125
2880,1.6618749999999998
2885,1.656875
2890,1.6561249999999998
2895,1.65325
2900,1.64925
2905,1.647625
2910,1.6433749999999998
2915,1.63925
2920,1.635875
2925,1.63325
2930,1.6304999999999998
2935,1.621875
2940,1.6186249999999998
2945,1.620125
2950,1.617625
2955,1.615125
2960,1.612625
2965,1.6114999999999997
2970,1.606375
2975,1.605125
2980,1.601875
2985,1.60025
2990,1.60025
2995,1.59875
3000,1.577125
